source_id,source_name,repository_or_url,category,provenance_class,redistribution_status,credit_requirement,priority,status,notes
SRC001,pret pokeplatinum,https://github.com/pret/pokeplatinum,Platinum source/reference,OFFICIAL_PLATINUM_REFERENCE,REFERENCE_ONLY_OR_SOURCE_DERIVED,Preserve pret/project attribution,CRITICAL,INDEXED,Primary source of truth for Platinum/Sinnoh fidelity
SRC002,pret pokeemerald,https://github.com/pret/pokeemerald,Official GBA base,OFFICIAL_GBA_BASE,SOURCE_DERIVED_REFERENCE,Preserve pret/project attribution,HIGH,INDEXED,Native GBA technical/art reference
SRC003,pret pokefirered,https://github.com/pret/pokefirered,Official GBA base,OFFICIAL_GBA_BASE,SOURCE_DERIVED_REFERENCE,Preserve pret/project attribution,HIGH,INDEXED,Additional native GBA technical/art reference
SRC004,pokeemerald-expansion,https://github.com/rh-hideout/pokeemerald-expansion,Modern GBA expansion,ROM_HACK_ORIGINAL,MIXED_CHECK_SUBFOLDER,Follow project/contributor credits,HIGH,INDEXED,Useful modern sprite/icon/effect support
SRC005,pokeemerald-platinum,https://github.com/sinnoh-remakes/pokeemerald-platinum,Sinnoh GBA demake,FAITHFUL_SINNOH_GBA_CONVERSION,MIXED_CHECK_SUBFOLDER,Follow project/contributor credits,CRITICAL,INDEXED,Directly relevant Sinnoh-to-GBA implementation reference
SRC006,Elite Redux,https://github.com/Elite-Redux/eliteredux,ROM hack source,ROM_HACK_ORIGINAL,MIXED_CHECK_SUBFOLDER,Follow project/contributor credits,MEDIUM,INDEXED,Useful expanded GBA graphics/mechanics reference
SRC007,Team Aqua Asset Repo,https://github.com/TeamAquasHideout/Team-Aquas-Asset-Repo,Community GBA asset library,ROM_HACK_ORIGINAL,FREE_TO_USE_EDIT_BY_DEFAULT,Original creator credit required,CRITICAL,READY_FOR_CURATED_INTAKE,Repo explicitly says assets are free to use/edit by default while preserving creator credits and per-asset exceptions
SRC008,Dynamic Pokemon Expansion Gen 9,https://github.com/Shiny-Miner/Dynamic-Pokemon-Expansion-Gen-9,Pokemon sprites/forms,ROM_HACK_ORIGINAL,CHECK_PROJECT_AND_ASSET_CREDITS,Preserve original/project credits,HIGH,DISCOVERED,Potential large later-gen GBA Pokemon source
SRC009,PokeSprite,https://github.com/msikma/pokesprite,Menu and item sprites,FANMADE_SINNOH,CHECK_LICENSE,Follow project/license credits,MEDIUM,DISCOVERED,Useful PC/Pokedex/menu/item reference pool; not automatically Mercury-ready
SRC010,PPG2,https://github.com/TastySnax12/PPG2,Platinum demake reference,FANMADE_SINNOH,CHECK_LICENSE,Follow project/creator credits,LOW,DISCOVERED,Older-hardware Sinnoh interpretation reference; useful for reduction ideas rather than direct GBA intake
