approval_group,approval_id,species_id,display_name,base_species,source,source_identity,official_gen4_types,platinum_redux_types,candidate_class,gba_battle_sprite_state,icon_state,local_preview,approval_status,roster_action,notes,decision,user_notes
1,1,3,Platinum Redux Venusaur,Venusaur,Platinum Redux 2.9.3 TC6,National Dex 003 changed-type visual,Grass/Poison,Grass/Water,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/001_003_VENUSAUR/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,2,6,Platinum Redux Charizard,Charizard,Platinum Redux 2.9.3 TC6,National Dex 006 changed-type visual,Fire/Flying,Fire/Dragon,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/002_006_CHARIZARD/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,3,9,Platinum Redux Blastoise,Blastoise,Platinum Redux 2.9.3 TC6,National Dex 009 changed-type visual,Water,Water/Rock,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/003_009_BLASTOISE/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,4,12,Platinum Redux Butterfree,Butterfree,Platinum Redux 2.9.3 TC6,National Dex 012 changed-type visual,Bug/Flying,Bug/Psychic,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/004_012_BUTTERFREE/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,5,20,Platinum Redux Raticate,Raticate,Platinum Redux 2.9.3 TC6,National Dex 020 changed-type visual,Normal,Normal/Dark,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/005_020_RATICATE/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,6,22,Platinum Redux Fearow,Fearow,Platinum Redux 2.9.3 TC6,National Dex 022 changed-type visual,Normal/Flying,Electric/Flying,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/006_022_FEAROW/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,7,24,Platinum Redux Arbok,Arbok,Platinum Redux 2.9.3 TC6,National Dex 024 changed-type visual,Poison,Poison/Dragon,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/007_024_ARBOK/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,8,26,Platinum Redux Raichu,Raichu,Platinum Redux 2.9.3 TC6,National Dex 026 changed-type visual,Electric,Electric/Psychic,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/008_026_RAICHU/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,9,28,Platinum Redux Sandslash,Sandslash,Platinum Redux 2.9.3 TC6,National Dex 028 changed-type visual,Ground,Ground/Ice,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/009_028_SANDSLASH/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,10,34,Platinum Redux Nidoking,Nidoking,Platinum Redux 2.9.3 TC6,National Dex 034 changed-type visual,Poison/Ground,Poison/Ice,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/010_034_NIDOKING/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,11,36,Platinum Redux Clefable,Clefable,Platinum Redux 2.9.3 TC6,National Dex 036 changed-type visual,Normal,Normal/Steel,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/011_036_CLEFABLE/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,12,38,Platinum Redux Ninetales,Ninetales,Platinum Redux 2.9.3 TC6,National Dex 038 changed-type visual,Fire,Fire/Ice,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/012_038_NINETALES/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,13,40,Platinum Redux Wigglytuff,Wigglytuff,Platinum Redux 2.9.3 TC6,National Dex 040 changed-type visual,Normal,Normal/Ghost,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/013_040_WIGGLYTUFF/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,14,49,Platinum Redux Venomoth,Venomoth,Platinum Redux 2.9.3 TC6,National Dex 049 changed-type visual,Bug/Poison,Bug/Fire,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/014_049_VENOMOTH/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,15,51,Platinum Redux Dugtrio,Dugtrio,Platinum Redux 2.9.3 TC6,National Dex 051 changed-type visual,Ground,Ground/Normal,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/015_051_DUGTRIO/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,16,53,Platinum Redux Persian,Persian,Platinum Redux 2.9.3 TC6,National Dex 053 changed-type visual,Normal,Normal/Dark,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/016_053_PERSIAN/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,17,55,Platinum Redux Golduck,Golduck,Platinum Redux 2.9.3 TC6,National Dex 055 changed-type visual,Water,Water/Ghost,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/017_055_GOLDUCK/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,18,59,Platinum Redux Arcanine,Arcanine,Platinum Redux 2.9.3 TC6,National Dex 059 changed-type visual,Fire,Fire/Normal,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/018_059_ARCANINE/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,19,65,Platinum Redux Alakazam,Alakazam,Platinum Redux 2.9.3 TC6,National Dex 065 changed-type visual,Psychic,Psychic/Fire,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/019_065_ALAKAZAM/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,20,68,Platinum Redux Machamp,Machamp,Platinum Redux 2.9.3 TC6,National Dex 068 changed-type visual,Fighting,Fighting/Rock,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/020_068_MACHAMP/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,21,71,Platinum Redux Victreebel,Victreebel,Platinum Redux 2.9.3 TC6,National Dex 071 changed-type visual,Grass/Poison,Grass/Ghost,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/021_071_VICTREEBEL/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,22,78,Platinum Redux Rapidash,Rapidash,Platinum Redux 2.9.3 TC6,National Dex 078 changed-type visual,Fire,Fire/Electric,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/022_078_RAPIDASH/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
1,23,83,Platinum Redux Farfetch'd,Farfetch'd,Platinum Redux 2.9.3 TC6,National Dex 083 changed-type visual,Normal/Flying,Fighting/Flying,Converted Platinum Redux retyped/regional visual candidate,COMPLETE normal+shiny front/back review conversion,ICON CONVERSION PENDING - battle art review does not depend on icon,candidates/023_083_FARFETCH_D/preview.png,PENDING USER APPROVAL,Art review only; no Mercury integration and no automatic new roster slot,"Extracted from Platinum Redux NDS Pokemon NARC, Platinum-decrypted, first static frame used, nearest-neighbor fit to 64x64 GBA review canvas.",,
